Species ID,Common Names
CHIS-1386,Black-Vented Shearwater
CHIS-1387,Northern Saw-Whet Owl
CHIS-1388,Short-Eared Owl
CHIS-1389,Long-Eared Owl
CHIS-1390,Burrowing Owl
CHIS-1391,Great Horned Owl
CHIS-1392,Flammulated Owl
CHIS-1393,Barn Owl
CHIS-1394,Magnificent Frigatebird
CHIS-1395,Double-Crested Cormorant
CHIS-1396,Pelagic Cormorant
CHIS-1397,Brandt's Cormorant
CHIS-1398,Brown Booby
CHIS-1399,Blue-Footed Booby
CHIS-1400,Red-Footed Booby
CHIS-1401,Southern Alligator Lizard
CHIS-1402,Yellow-Bellied Racer
CHIS-1403,Spotted Night Snake
CHIS-1404,Santa Cruz Island Gopher Snake
CHIS-1405,Western Terrestrial Garter Snake
CHIS-1406,Island Fence Lizard
CHIS-1407,Side-Blotched Lizard
CHIS-1408,Island Night Lizard
CHIS-1409,Loggerhead
CHIS-1410,"Green Sea Turtle, Green Turtle"
CHIS-1411,Leatherback
CHIS-1412,Pacific Treefrog
CHIS-1413,Red-Legged Frog
CHIS-1414,Black-Bellied Slender Salamander
CHIS-1415,Pacific Slender Salamander
CHIS-1416,California Moray
CHIS-1417,Topsmelt
CHIS-1418,Jacksmelt
CHIS-1419,California Grunion
CHIS-1420,California Lizardfish
CHIS-1421,Specklefin Midshipman
CHIS-1422,Plainfin Midshipman
CHIS-1423,Smallhead Flyingfish
CHIS-1424,None
CHIS-1425,Flyingfishes
CHIS-1426,Pacific Saury
CHIS-1427,Narrowtooth Shark
CHIS-1428,Blue Shark
CHIS-1429,Swell Shark
CHIS-1430,Filetail Cat Shark
CHIS-1431,Gray Smoothhound
CHIS-1432,Brown Smoothhound
CHIS-1433,Leopard Shark
CHIS-1434,Spotted Ratfish
CHIS-1435,None
CHIS-1436,Pacific Sardine
CHIS-1437,Northern Anchovy
CHIS-1438,Pacific Hake
CHIS-1439,Tube-Snout
CHIS-1440,Snubnose Pipefish
CHIS-1441,Barred Pipefish
CHIS-1442,Kelp Pipefish
CHIS-1443,Chocolate Pipefish
CHIS-1444,Barcheek Pipefish
CHIS-1445,Bay Pipefish
CHIS-1446,Horn Shark
CHIS-1447,Bigeye Thresher
CHIS-1448,Thresher Shark
CHIS-1449,Basking Shark
CHIS-1450,White Shark
CHIS-1451,Shortfin Mako
CHIS-1452,Longfin Mako
CHIS-1453,"Moonfish, Opah"
CHIS-1454,Whiptail Ribbonfish
CHIS-1455,King-Of-The-Salmon
CHIS-1456,None
CHIS-1457,California Headlightfish
CHIS-1458,None
CHIS-1459,None
CHIS-1460,California Flashlightfish
CHIS-1461,Northern Lampfish
CHIS-1462,Mexican Lampfish
CHIS-1463,None
CHIS-1464,Bat Ray
CHIS-1465,Round Stingray
CHIS-1466,Pacific Hagfish
CHIS-1467,Red Brotula
CHIS-1468,Purple Brotula
CHIS-1469,Spotted Cusk-Eel
CHIS-1470,Spotted Cusk-Eel
CHIS-1471,Pacific Argentine
CHIS-1472,None
CHIS-1473,California Smoothtongue
CHIS-1474,Wolf-Eel
CHIS-1475,Guadalupe Cardinalfish
CHIS-1476,None
CHIS-1477,Stripefin Ronquil
CHIS-1478,Bluebanded Ronquil
CHIS-1479,Rockpool Blenny
CHIS-1480,Mussel Blenny
CHIS-1481,Green Jack
CHIS-1482,Yellowtail Jack
CHIS-1483,Jack Mackerel
CHIS-1484,Medusafish
CHIS-1485,Orangethroat Pikeblenny
CHIS-1486,Sarcastic Fringehead
